COD_ID,Bandgap,SMILES
ABECAL,1.16552886,c1ccc(cc1)c1ccc(cc1)c1cc2cc3cccc4cccc(c2c1)c34
ANTCEN,1.92572648,c1ccc2cc3ccccc3cc2c1
BEANTR,2.09942163,c1ccc2cc3c(ccc4ccccc34)cc2c1
BENZEN,4.36215239,c1ccccc1
BIFUOR,2.92087888,c1ccc2c(c1)C(C1c3ccccc3c3ccccc13)c1ccccc21
BIGJUX,1.40058405,c1ccc(cc1)c1c2c3ccccc3c3ccccc3c2c(c2ccccc2)c2c(c3ccccc3)c3c(c4ccccc4)c4c5ccccc5c5ccccc5c4c(c4ccccc4)c3c(c3ccccc3)c12
BIPHEN,3.23133328,c1ccc(cc1)c1ccccc1
BNPERY,1.74328721,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
BNPYRE10,1.66910054,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
BOXGAW,1.05075587,c1cc2ccc3cc4c5ccc6ccc7ccc8cccc9c8c7c6c5c9c5ccc6cc(c1)c2c3c6c45.c1cc2ccc3cc4c5ccc6ccc7ccc8cccc9c8c7c6c5c9c5ccc6cc(c1)c2c3c6c45
BZPHAN,2.54922335,c1ccc2c(c1)ccc1ccc3ccccc3c21
CARREU,1.07371604,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2cc3c(cc12)c(c1ccccc1)c1c2cccc4ccc5cccc(c5c24)c1c3c1ccccc1
CENXUO,2.33550924,c1cc2ccc3ccc(c4cccc5cccc(c6ccc7ccc8cccc9ccc6c7c89)c45)c4ccc(c1)c2c34
CENYAV,2.28672254,c1cc2ccc3ccc(c4cccc5cccc(c6ccc7ccc8cccc9ccc6c7c89)c45)c4ccc(c1)c2c34
CENYEZ,2.43902701,c1cc2ccc3cc(cc4ccc(c1)c2c34)c1cccc2cccc(c3cc4ccc5cccc6ccc(c3)c4c56)c12
CEQGEL,2.33696096,c1ccc2c(c1)c1cccc3ccc4cccc2c4c13.c1ccc2c(c1)c1cccc3ccc4cccc2c4c13
CORANN12,2.71270525,C1=CC2=C3C4=C5C(=CC=C14)C=CC1=C5C3=C(C=C2)C=C1.C1=CC2=C3C4=C5C(=CC=C14)C=CC1=C5C3=C(C=C2)C=C1
CORONE01,2.26483882,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
CORXAI10,1.27653607,c1ccc2c(c1)cc1ccc3c4ccc5cccc6c7ccccc7c(c7ccc2c1c37)c4c56
CRYSEN01,2.44786802,c1ccc2c(c1)ccc1c3ccccc3ccc21
DBNTHR02,2.34431238,c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21
DBPERY,1.53477291,c1ccc2c(c1)cc1c3cccc4c5ccccc5cc(c5cccc2c15)c34
DBPHEN02,2.39765622,c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c21
DBZCOR,1.81346891,c1ccc2c(c1)c1ccc3ccc4c5ccccc5c5ccc6ccc2c2c6c5c4c3c12
DNAPAN,1.84665618,c1ccc2c(c1)ccc1ccc3cc4c(ccc5ccc6ccccc6c45)cc3c21
DPANTR01,1.94292597,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2ccccc12
DUPHAX,1.32390545,c1ccc2c(c1)cc1c3ccccc3c3c4ccc5cccc6c7ccc8cccc9c%10cc2c1c3c%10c(c7c89)c4c56
FACPEE,2.60530671,c1ccc(cc1)c1c2c3ccccc3c3ccccc3c2c(c2ccccc2)c2c3ccccc3c3ccccc3c12
FLUANT02,2.59599911,c1ccc2c(c1)c1cccc3cccc2c13.c1ccc2c(c1)c1cccc3cccc2c13
FOVVOB,3.17059339,c1ccc(cc1)c1ccc(c2ccccc2)c(c2ccccc2)c1c1ccccc1
GUQZUP,2.06211975,c1ccc2c(c1)c1c3ccccc3c3c4ccccc4c4c5ccccc5c5c6ccccc6c6c7ccccc7c2c2c1c3c4c5c62
HBZCOR,1.64524786,c1cc2c3cccc4c5cccc6c7cccc8c9cccc%10c%11cccc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c9%10)c1c%11%12
HPHBNZ03,3.48524079,c1ccc(cc1)c1c(c2ccccc2)c(c2ccccc2)c(c2ccccc2)c(c2ccccc2)c1c1ccccc1
IZUCIP,2.31177192,c1ccc(cc1)c1c2cccc3c4ccccc4c4cccc(c1c1ccccc1)c4c23
JULSOY,1.26344494,c1ccc2c(c1)cc1c3ccccc3c3c4ccc5c6ccccc6cc6c7ccccc7c(c7ccc2c1c37)c4c56
KAFVUI,2.01446195,c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34
KAGFOP,1.07522489,c1ccc(cc1)c1c2cccc3cccc(c23)c2c(c3ccccc3)c3cccc4cccc(c34)c12
KAGFUV,1.30072535,c1ccc(cc1)c1c2cccc3ccc4c5ccccc5c5c6cccc7cccc(c67)c1c5c4c23
KAGGAC,1.27233088,Cc1cc(C)c(c(C)c1)c1c2cccc3cccc(c23)c2c(c3cccc4cccc(c34)c12)c1c(C)cc(C)cc1C
KAGGEG,0.97612035,c1cc2cccc3c4cc5cccc6cccc(c4cc(c1)c23)c56
KAGGIK,1.27248134,CCCCc1c2cccc3cccc(c23)c2c(CCCC)c3cccc4cccc(c34)c12
KAQLEV,1.97904118,c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccccc2c31
KECLAH,0.72306451,c1ccc(cc1)c1c2cc3c(cc2c(c2ccccc2)c2cc4c(cc12)c(c1ccccc1)c1c2cccc5ccc6cccc(c6c25)c1c4c1ccccc1)c(c1ccccc1)c1c2cccc4ccc5cccc(c5c24)c1c3c1ccccc1
KEGHEJ01,0.919717,c1cc2ccc3ccc4ccc1c2c34
KIDJUD03,3.20663868,c1ccc(cc1)c1cc(c2ccccc2)c(cc1c1ccccc1)c1ccccc1
KUBVUY,2.15267255,c1ccc(cc1)c1c2ccccc2c(c2ccccc12)c1c2ccccc2c(c2ccccc2)c2ccccc12
KUBWAF01,1.96358516,c1ccc2c(c1)cc1ccccc1c2c1c2ccccc2cc2ccccc12
KUZXUA,2.01119537,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6c7ccccc7c2c2c1c3c4c5c62
LIMCUF,1.98911376,c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1
NAPANT01,1.02108517,c1cc2cccc3c2c(c1)c1cccc2c1c3c1cccc3c4cccc5cccc(c45)c2c13
OBOHUL,0.81512687,Cc1ccc2cccc3c(c4ccc(cc4)C(C)(C)C)c4cc5c(cc4c1c23)c(c1ccc(cc1)C(C)(C)C)c1cccc2ccc(C)c5c12
OVALEN01,1.57956611,c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c1c2c3c2c4c5c6c7c2c81
PENCEN,0.898,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1.c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1
PERLEN05,1.63415664,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
PERLEN07,1.236,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
PEZPIU,1.821,c1ccc2cc(ccc2c1)c1ccc2ccccc2c1c1cc2cccc3cccc1c23
PEZPUG,2.0133555,c1ccc2c(c1)cccc2c1c2cccc3cccc(c23)c1c1cccc2ccccc12
PHNAPH,0.80645588,c1ccc2c(c1)c1c3ccccc3c3c4ccccc4c4c5ccccc5c2c1c34
POBPIG,1.38826465,c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c6ccc(c7ccc2c1c37)c4c56.c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c6ccc(c7ccc2c1c37)c4c56
POBPIG06,1.38826465,c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c6ccc(c7ccc2c1c37)c4c56
PUJQIV,1.67868353,c1ccc2cc(cc2cc1)c1ccc2ccccc2c1.c1ccc2cc(cc2cc1)c1ccc2ccccc2c1
PUNVEA,3.27560402,c1ccc(cc1)c1c(c2ccccc2)c(c2ccccc2)c(c2ccc(cc2)c2c(c3ccccc3)c(c3ccccc3)c(c3ccccc3)c(c3ccccc3)c2c2ccccc2)c(c2ccccc2)c1c1ccccc1
PUNVIE,3.19676503,c1ccc(cc1)c1cc(c2ccccc2)c(c2ccccc2)c(c2ccccc2)c1c1ccccc1
PYRCEN,2.75315362,C1Cc2ccc3CCc4ccc1c2c34
PYRPYR10,1.80212502,c1cc2ccc3cccc4c3c2c(c1)c1c2cccc3ccc5cccc(c5c23)c41
QQQCIG04,1.16035309,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2c(c3ccccc3)c3ccccc3c(c3ccccc3)c12
QQQCIG13,1.44577573,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2c(c3ccccc3)c3ccccc3c(c3ccccc3)c12
QQQCIG14,1.18090885,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2c(c3ccccc3)c3ccccc3c(c3ccccc3)c12
QUATER10,0.78414832,c1cc2cccc3c4ccc5c6ccc7c8cccc9cccc(c%10ccc(c%11ccc(c(c1)c23)c4c5%11)c6c7%10)c89
QUPHEN,2.5273672,c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1
QUPHEN01,2.402,c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1.c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1
RAKGOA,2.27697863,c1ccc2c(c1)C1=C3C4=C(C=C1)C=CC1=C4C4=C(C=CC2=C34)c2ccccc12
REBWIE,1.77465051,c1ccc(cc1)c1cccc2c3ccccc3c3c4cccc5cccc(c45)c3c12
SANQII,2.17429648,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1.c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1
SETTES,1.97464931,c1ccc2c(c1)c1ccc3c4ccccc4c4c5ccccc5c5ccc6c7ccccc7c2c2c1c3c4c5c62
SURTAA,1.66240029,c1cc2ccc3c2c(c1)c1ccc2ccc4cccc5c4c2c1c35
TAYSUJ,0.85173577,c1ccc(cc1)C1=C2C=C3C(=CC2=C(c2ccccc2)C2=Cc4c(C=C12)c(c1ccccc1)c1c2cccc5ccc6cccc(c6c25)c1c4c1ccccc1)C(=C(c1ccccc1)C(=C3c1ccccc1)c1ccccc1)c1ccccc1.c1ccc(cc1)C1=C2C=C3C(=CC2=C(c2ccccc2)C2=Cc4c(C=C12)c(c1ccccc1)c1c2cccc5ccc6cccc(c6c25)c1c4c1ccccc1)C(=C(c1ccccc1)C(=C3c1ccccc1)c1ccccc1)c1ccccc1
TBZHCE,0.95026913,c1cc2ccc3cccc4c5cc6cc7cc8c9cccc%10ccc%11cccc(c8cc7cc6cc5c(c1)c2c34)c%11c9%10.c1cc2ccc3cccc4c5cc6cc7cc8c9cccc%10ccc%11cccc(c8cc7cc6cc5c(c1)c2c34)c%11c9%10
TBZPER,1.70971081,c1ccc2c(c1)c1cccc3ccc4c5c6ccccc6c6cccc7ccc(c2c4c13)c5c67
TBZPYR,1.92853015,c1ccc2c(c1)cc1ccc3cc4ccccc4c4c5ccccc5c2c1c34
TEBNAP,2.33151868,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21
TERPHE02,2.647,c1ccc(cc1)c1ccc(cc1)c1ccccc1
TERPHO02,3.34035487,c1ccc(cc1)c1ccccc1c1ccccc1
TETCEN01,1.365,c1ccc2cc3cc4ccccc4cc3cc2c1.c1ccc2cc3cc4ccccc4cc3cc2c1
TPHBEN01,2.93923976,c1ccc(cc1)c1cc(cc(c1)c1ccccc1)c1ccccc1
TRIPHE12,2.966,c1ccc2c(c1)c1ccccc1c1ccccc21
VEBJAO,1.024,c1ccc(cc1)c1c2cc3c(cc2c(c2ccccc2)c2cc4c(cc12)c(c1ccccc1)c(c1ccccc1)c(c1ccccc1)c4c1ccccc1)c(c1ccccc1)c(c1ccccc1)c(c1ccccc1)c3c1ccccc1
VEBJES,1.005453,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2cc3c(cc12)c(c1ccccc1)c1ccccc1c3c1ccccc1
VEBJIW,0.82771205,c1ccc(cc1)c1c2cc3ccccc3cc2c(c2ccccc2)c2cc3ccccc3cc12.c1ccc(cc1)c1c2cc3ccccc3cc2c(c2ccccc2)c2cc3ccccc3cc12
VEBJOC,0.92992971,c1ccc(cc1)c1ccc(c2ccccc2)c2cc3c(cc12)c(c1ccccc1)c1cc2c(ccc(c4ccccc4)c2cc1c3c1ccccc1)c1ccccc1
VEBKAP,0.72148073,c1ccc(cc1)c1c2cc3ccccc3cc2cc2cc3ccccc3cc12.c1ccc(cc1)c1c2cc3ccccc3cc2cc2cc3ccccc3cc12
VEHCAM,2.105105,c1ccc(cc1)c1c(c2ccccc2)c(c2ccccc2)c2c(c3ccccc3)c3c4ccccc4c4ccccc4c3c(c3ccccc3)c2c1c1ccccc1
VUFHUA,2.14381283,c1ccc2c(c1)c1ccccc1c1c3ccc4c5c6ccccc6c6ccccc6c5c5ccc6ccc(c21)c1c6c5c4c31
XECJIZ,1.13297643,c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2cc3ccccc3cc12
YITJAN,2.25050089,c1ccc(cc1)c1cc2cc3ccccc3cc2c2ccccc12.c1ccc(cc1)c1cc2cc3ccccc3cc2c2ccccc12
YOFCUR,1.38812179,c1cc2ccc3cc4c5cc6ccc7ccc8ccc9ccc%10cc(c%11cc%12ccc%13ccc1c1c2c3c(c4%11)c%12c%131)c5c1c6c7c8c9c%101
YUNYAJ,1.36478973,c1cc2ccc3c4cccc5c6cccc7ccc8c9cccc%10c(c1)c2c3c(c9%10)c(c45)c8c67
ZZZDKE01,0.32752965,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1.c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1
ZZZNKU01,2.1779926,c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1
ZZZNTQ01,2.06697342,c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1
ZZZOYC01,2.26210679,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc12
