csd_id,GapC,ETC,VBdispC,CBdispC,AtomNumC,RhoC,EpsilonC,DFC,DFC_ST
ABECAL,1.13712,1.178138748,0.07127,0.07828,184,0.793748576,3.191412427,-1.219157496,-0.04101874800000016
ANTCEN,1.95118,1.964431885,0.217,0.25799,48,0.749904862,3.001917481,-1.97768377,-0.013251885000000074
BEANTR,2.0243,2.188501347,0.2651,0.2408,60,0.741438725,2.938142534,-2.352702694,-0.16420134699999966
BENZEN,4.3761,4.50778927,0.30191,0.24725,48,0.635486702,3.003321315,-4.63947854,-0.13168926999999986
BIFUOR,2.99476,3.168757521,0.18199,0.29375,176,0.744847862,3.438733559,-3.342755042,-0.173997521
BIGJUX,1.38582,1.368664359,0.02324,0.03117,480,0.76362052,3.038544241,-1.351508718,0.017155641
BIPHEN,3.20463,3.225683088,0.2164,0.34705,44,0.714323203,2.887370424,-3.246736176,-0.021053087999999942
BNPERY,2.09305,2.145211944,0.10898,0.09404,136,0.81162796,3.759170062,-2.197373888,-0.05216194400000029
BNPYRE10,1.733,1.871856474,0.15216,0.54339,128,0.814769314,3.242602659,-2.010712948,-0.138856474
BOXGAW,1.02513,1.065145348,0.28557,0.33577,224,0.895941714,4.31977875,-1.105160696,-0.04001534799999984
BZPHAN,2.57503,2.577259485,0.21214,0.16599,120,0.76058179,3.026866864,-2.57948897,-0.0022294849999999755
CARREU,1.05262,1.030695156,0.04114,0.0996,180,0.755257676,2.997511074,-1.008770312,0.021924843999999943
CENXUO,2.19228,2.188131266,0.0489,0.06443,264,0.798209007,3.6951989,-2.183982532,0.00414873399999971
CENYAV,2.11966,2.168731464,0.07807,0.07821,132,0.767087891,3.046543697,-2.217802928,-0.04907146399999984
CENYEZ,2.15023,2.197402977,0.11569,0.06149,264,0.796095027,3.167006046,-2.244575954,-0.04717297699999978
CEQGEL,2.3321,2.352734111,0.07799,0.09168,128,0.791672874,3.117740156,-2.373368222,-0.02063411100000012
CORANN12,2.59671,2.67221737,0.04633,0.05478,240,0.827377091,3.221796508,-2.74772474,-0.07550736999999996
CORONE01,2.38216,2.496015188,0.33102,0.17834,72,0.837556386,3.889899875,-2.609870376,-0.11385518800000005
CORXAI10,1.39752,1.408447336,0.12018,0.38739,208,0.875969218,4.233726686,-1.419374672,-0.010927335999999954
CRYSEN01,2.41607,2.628832697,0.38621,0.26792,120,0.776715202,3.641015627,-2.841595394,-0.21276269700000006
DBNTHR02,2.34285,2.334918521,0.05845,0.1817,144,0.77122269,3.067309133,-2.326987042,0.007931478999999797
DBPERY,1.56823,1.682740356,0.18855,0.43531,176,0.835639249,3.961356503,-1.797250712,-0.11451035600000004
DBPHEN02,2.36323,2.517066111,0.29889,0.1831,144,0.774091069,3.077811357,-2.670902222,-0.15383611099999994
DBZCOR,1.86136,1.991139147,0.12101,0.4456,192,0.878092671,3.460587003,-2.120918294,-0.12977914700000004
DNAPAN,1.84295,1.926462373,0.06899,0.19067,192,0.790114335,3.133036736,-2.009974746,-0.0835123729999998
